SAMPLE_NAME,ENA_FILE_PATH,READ_COUNT,POPULATION,MD5SUM
NA19475,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239784/NA19475.final.cram,742692868,LWK,7782890443ad340e24594443c7a294b6
NA20503,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239786/NA20503.final.cram,812400488,TSI,47e23b70f2a465e56098821c0740edd5
NA20504,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239787/NA20504.final.cram,729333780,TSI,3ba83b12aed90107e0a3f7723fa83d57
HG00112,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240128/HG00112.final.cram,747857330,GBR,2bc97a64b1d6609515bc2f7d5c4ec1ca
HG00129,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240137/HG00129.final.cram,673978864,GBR,98a5b445e118ddc22cb9e322d43d9244
NA19210,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239451/NA19210.final.cram,761449542,YRI,2b7f6ae09a1d2c02bdddf3d3b10b26e0
HG00143,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240149/HG00143.final.cram,721225054,GBR,c2d5eea951054c05a82129da72b085df
HG00148,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240152/HG00148.final.cram,695757406,GBR,f4e87e0237ac9338942f77d86b9a0a29
HG00150,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240154/HG00150.final.cram,892306456,GBR,e1c9386a0568026cc697259c79d6c78d
HG00151,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240155/HG00151.final.cram,784025758,GBR,c4772d65f0ca771389c0c7ffdbc83617
HG00171,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240160/HG00171.final.cram,769067374,FIN,9bc1ee493f94bd6e332439f267096682
NA11892,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239461/NA11892.final.cram,768745406,CEU,20b854b095f971812a98b9ca256db17f
NA12273,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239466/NA12273.final.cram,764550586,CEU,9ecd559c2b40c841b187a5e20058e647
NA12347,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239474/NA12347.final.cram,788831592,CEU,90860cca491e40a5cbb62c833ec4b2c0
NA12348,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239475/NA12348.final.cram,732294300,CEU,96cbd9d482f14ff0a5e9d70c795482e8
NA20581,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239825/NA20581.final.cram,759166718,TSI,6df4043d1bcd497d37cb24eef489f112
NA20589,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239831/NA20589.final.cram,736866640,TSI,bf3d1e29ff582d20644b450ad824f5a0
HG01191,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3241853/HG01191.final.cram,783711396,PUR,339cfc420724ee72e7f61b5ab51b5aa5
HG01885,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3242191/HG01885.final.cram,753198364,ACB,26f18c42b911ba8375d4777c33e0e248
HG01956,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3242192/HG01956.final.cram,764452126,ACB,aed804b28e6ffb3c6d317e224ef50ebf
HG02301,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3242201/HG02301.final.cram,719485446,PEL,f189df5002be2e1cbda21b7dba1f9e94
HG03212,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3242540/HG03212.final.cram,768224688,MSL,bad8c23b8aec523fc74718e7acf5b56f
HG03388,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3242545/HG03388.final.cram,746923532,MSL,8ab92679e8193afa18dbbf9f9ef87779
HG03419,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3242547/HG03419.final.cram,755172640,MSL,a819ac03732355539a3967856a04c52c
HG03461,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3242556/HG03461.final.cram,719948638,MSL,e29fe3d31ba4f3268b4ac7e45a4eddd3
HG03836,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3242894/HG03836.final.cram,773452304,STU,1e3f42b2a2bec4892ed21b57ca4cd2b8
